Stock Code,Real Time Available Volume for SBL Short Sales,Last Modify,
"0050" TT,"978164",""
"0051" TT,"30989",""
"0052" TT,"2003",""
"0053" TT,"5949",""
"0054" TT,"9309",""
"0055" TT,"23720",""
"0056" TT,"494221",""
"0057" TT,"1989",""
"0058" TT,"1304",""
"0059" TT,"6515",""
"0061" TT,"1044709",""
"006201" TT,"27190",""
"006203" TT,"240",""
"006204" TT,"1576",""
"006205" TT,"1258599",""
"006206" TT,"433215",""
"006207" TT,"486215",""
"006208" TT,"4135",""
"00631L" TT,"706311",""
"00632R" TT,"12075534",""
"00633L" TT,"9481234",""
"00634R" TT,"431378",""
"00635U" TT,"428709",""
"00636" TT,"1345719",""
"00637L" TT,"22737093",""
"00638R" TT,"39459",""
"00639" TT,"1712171",""
"00640L" TT,"288201",""
"00641R" TT,"244980",""
"00642U" TT,"1566969",""
"00643" TT,"987079",""
"00645" TT,"29529",""
"00646" TT,"28391",""
"00647L" TT,"1940",""
"00648R" TT,"258113",""
"00649" TT,"40749",""
"00650L" TT,"244969",""
"00651R" TT,"83899",""
"00652" TT,"53850",""
"00653L" TT,"221712",""
"00654R" TT,"59040",""
"00655L" TT,"2429337",""
"00656R" TT,"32829",""
"00657" TT,"5730",""
"00658L" TT,"14319",""
"00659R" TT,"27690",""
"00660" TT,"11095",""
"00661" TT,"630",""
"00662" TT,"38159",""
"00663L" TT,"172260",""
"00664R" TT,"219311","13:29:45.45"
"00665L" TT,"437220",""
"00666R" TT,"52899",""
"00667" TT,"6693",""
"00668" TT,"4670",""
"00669R" TT,"107349",""
"00670L" TT,"166770",""
"00671R" TT,"246360",""
"00672L" TT,"5349444","13:26:32.17"
"00673R" TT,"1216312",""
"00674R" TT,"34650",""
"00675L" TT,"469133",""
"00676R" TT,"56483","13:29:51.49"
"00677U" TT,"5204102","13:03:05.34"
"00678" TT,"60638",""
"00679B" TT,"570160",""
"00680L" TT,"6690",""
"00681R" TT,"5340",""
"00682U" TT,"9835",""
"00683L" TT,"123579",""
"00684R" TT,"1500",""
"00685L" TT,"80269",""
"00686R" TT,"747069",""
"00687B" TT,"167929",""
"00688L" TT,"14010",""
"00689R" TT,"3259",""
"00690" TT,"212146",""
"00691R" TT,"7189",""
"00692" TT,"342106",""
"00693U" TT,"197600",""
"00694B" TT,"518171",""
"00695B" TT,"476262",""
"00696B" TT,"418100",""
"00697B" TT,"556339",""
"00698L" TT,"285589",""
"00699R" TT,"270379",""
"00700" TT,"166388",""
"00701" TT,"1402899",""
"00702" TT,"562485",""
"00703" TT,"198463",""
"00704L" TT,"242863",""
"00705R" TT,"332727",""
"00709" TT,"59550",""
"00710B" TT,"8700",""
"00711B" TT,"11700",""
"00712" TT,"9375",""
"008201" TT,"1450",""
"1101" TT,"168","13:28:51.77"
"1102" TT,"733887","13:29:24.99"
"1103" TT,"124130",""
"1104" TT,"62662","13:23:55.97"
"1108" TT,"103528",""
"1109" TT,"30577",""
"1110" TT,"349693",""
"1201" TT,"192024",""
"1203" TT,"13896","13:23:48.89"
"1210" TT,"531419","13:29:03.78"
"1213" TT,"13591",""
"1215" TT,"819829","13:29:20.84"
"1216" TT,"1446183","13:29:47.80"
"1217" TT,"742281","13:25:05.26"
"1218" TT,"1304142","13:29:15.04"
"1219" TT,"25455",""
"1220" TT,"24262",""
"1225" TT,"24798",""
"1227" TT,"62646","13:29:22.99"
"1229" TT,"427272","13:29:35.07"
"1231" TT,"78936",""
"1232" TT,"16428","13:29:19.94"
"1233" TT,"20572",""
"1234" TT,"45651",""
"1235" TT,"46918",""
"1236" TT,"5435",""
"1256" TT,"25624",""
"1258" TT,"8144",""
"1259" TT,"6936",""
"1262" TT,"780972","14:53:49.75"
"1264" TT,"13310",""
"1301" TT,"1075405","13:32:50.98"
"1303" TT,"1895534","13:32:50.49"
"1304" TT,"349901","13:29:11.93"
"1305" TT,"1419960","13:24:06.21"
"1307" TT,"45936",""
"1308" TT,"199379","13:23:56.16"
"1309" TT,"599536","13:24:12.19"
"1310" TT,"335778","13:29:23.93"
"1312" TT,"3874698","13:24:47.16"
"1313" TT,"803333","13:29:21.86"
"1314" TT,"2760150","16:43:59.56"
"1315" TT,"12992",""
"1316" TT,"118029","09:32:25.46"
"1319" TT,"780266","13:29:13.86"
"1321" TT,"145787","13:24:24.59"
"1323" TT,"80628",""
"1324" TT,"26332",""
"1325" TT,"10716",""
"1326" TT,"872362","13:24:41.21"
"1333" TT,"0",""
"1336" TT,"555130",""
"1337" TT,"406666","13:23:47.63"
"1338" TT,"269455","13:24:49.20"
"1339" TT,"63523",""
"1340" TT,"237194",""
"1402" TT,"600763","13:32:53.08"
"1409" TT,"354327","13:29:23.78"
"1410" TT,"20574",""
"1414" TT,"110256",""
"1416" TT,"147542","13:27:33.73"
"1417" TT,"103933",""
"1419" TT,"16809",""
"1423" TT,"26152",""
"1432" TT,"66256",""
"1434" TT,"197577","13:25:05.20"
"1436" TT,"21429",""
"1437" TT,"28562",""
"1439" TT,"65651","13:23:53.16"
"1440" TT,"371011","13:29:16.72"
"1442" TT,"80040",""
"1444" TT,"4758856","13:32:09.05"
"1445" TT,"28510",""
"1446" TT,"27186",""
"1447" TT,"466821","13:29:13.87"
"1451" TT,"79521","13:24:16.55"
"1452" TT,"275054","13:24:32.35"
"1453" TT,"22150",""
"1454" TT,"28365",""
"1455" TT,"778168","13:29:02.98"
"1456" TT,"14668",""
"1457" TT,"330607","13:29:16.73"
"1459" TT,"45779","13:24:11.87"
"1460" TT,"234567",""
"1463" TT,"344837","13:24:29.07"
"1464" TT,"235370","13:24:10.12"
"1465" TT,"10618",""
"1466" TT,"21910",""
"1467" TT,"71075",""
"1470" TT,"31026",""
"1473" TT,"57870",""
"1474" TT,"90685",""
"1476" TT,"431247","13:25:54.97"
"1477" TT,"373811","13:32:51.10"
"1503" TT,"34408","13:23:32.84"
"1504" TT,"599005","13:32:51.05"
"1506" TT,"223298",""
"1507" TT,"81433","13:24:40.38"
"1513" TT,"337316","13:29:10.65"
"1514" TT,"298805",""
"1515" TT,"1589169",""
