Stock Code,Real Time Available Volume for SBL Short Sales,Last Modify,
"證券代號 TT","可借券賣出股數"
"0050 TT","981,495"
"006201 TT","26,830"
"0051 TT","29,683"
"00679B TT","561,490"
"0052 TT","2,004"
"00687B TT","165,999"
"0053 TT","5,959"
"00694B TT","513,091"
"0054 TT","9,469"
"00695B TT","477,662"
"0055 TT","23,142"
"00696B TT","418,100"
"0056 TT","484,454"
"00697B TT","550,659"
"0057 TT","2,040"
"1258 TT","8,134"
"0058 TT","1,314"
"1259 TT","6,900"
"0059 TT","6,515"
"1264 TT","13,098"
"0061 TT","1,064,359"
"1336 TT","674,562"
"006203 TT","240"
"1565 TT","103,330"
"006204 TT","1,606"
"1566 TT","93,801"
"006205 TT","1,270,941"
"1569 TT","890,392"
"006206 TT","433,936"
"1570 TT","43,765"
"006207 TT","487,426"
"1580 TT","45,108"
"006208 TT","4,137"
"1584 TT","197,961"
"00631L TT","709,172"
"1586 TT","382,561"
"00632R TT","12,183,603"
"1593 TT","15,881"
"00633L TT","9,631,003"
"1595 TT","88,236"
"00634R TT","373,255"
"1597 TT","1,185,230"
"00635U TT","426,193"
"1599 TT","37,698"
"00636 TT","1,373,912"
"1752 TT","68,458"
"00637L TT","23,192,160"
"1777 TT","13,713"
"00638R TT","38,940"
"1784 TT","178,863"
"00639 TT","1,700,025"
"1785 TT","939,155"
"00640L TT","293,821"
"1787 TT","43,732"
"00641R TT","254,559"
"1788 TT","5,145"
"00642U TT","1,561,726"
"1795 TT","146,572"
"00643 TT","990,659"
"1799 TT","55,168"
"00645 TT","30,659"
"1813 TT","8,884"
"00646 TT","29,531"
"1815 TT","3,378,332"
"00647L TT","1,930"
"2035 TT","2,107"
"00648R TT","234,213"
"2063 TT","6,293"
"00649 TT","40,740"
"2064 TT","5,046"
"00650L TT","244,969"
"2066 TT","18,024"
"00651R TT","84,159"
"2221 TT","120,708"
"00652 TT","52,959"
"2230 TT","41,429"
"00653L TT","221,692"
"2233 TT","400,317"
"00654R TT","57,120"
"2235 TT","8,691"
"00655L TT","2,497,282"
"2596 TT","38,357"
"00656R TT","32,829"
"2640 TT","82,386"
"00657 TT","6,019"
"2641 TT","270,554"
"00658L TT","14,989"
"2726 TT","62,109"
"00659R TT","28,320"
"2732 TT","41,518"
"00660 TT","10,746"
"2734 TT","105,102"
"00661 TT","649"
"2736 TT","4,323"
"00662 TT","35,660"
"2916 TT","3,661"
"00663L TT","181,041"
"2924 TT","47,709"
"00664R TT","542,322"
"2926 TT","9,246"
"00665L TT","445,579"
"2928 TT","56,566"
"00666R TT","57,270"
"3068 TT","296,814"
"00667 TT","6,763"
"3078 TT","448,227"
"00668 TT","4,640"
"3081 TT","533,841"
"00669R TT","108,159"
"3083 TT","99,196"
"00670L TT","168,600"
"3088 TT","169,182"
"00671R TT","251,359"
"3092 TT","817,843"
"00672L TT","11,400,044"
"3093 TT","1,032"
"00673R TT","1,247,492"
"3105 TT","1,476,124"
"00674R TT","34,639"
"3114 TT","495,915"
"00675L TT","486,313"
"3118 TT","10,837"
"00676R TT","1,003,883"
"3122 TT","44,026"
"00677U TT","5,809,092"
"3128 TT","25,386"
"00678 TT","59,272"
"3131 TT","166,239"
"00680L TT","6,369"
"3141 TT","179,098"
"00681R TT","5,280"
"3144 TT","539,788"
"00682U TT","9,665"
"3152 TT","100,092"
"00683L TT","124,710"
"3163 TT","205,033"
"00684R TT","1,500"
"3169 TT","224,963"
"00685L TT","83,689"
"3171 TT","3,053"
"00686R TT","754,219"
"3202 TT","303,401"
"00688L TT","13,680"
"3205 TT","150,321"
"00689R TT","9,270"
"3206 TT","103,819"
"00690 TT","213,530"
"3211 TT","93,482"
"00691R TT","7,500"
"3213 TT","225,895"
"00692 TT","339,985"
"3217 TT","178,633"
"00693U TT","188,610"
"3218 TT","214,872"
"00698L TT","284,499"
"3221 TT","42,795"
"00699R TT","270,390"
"3224 TT","101,741"
"00700 TT","165,381"
"3226 TT","4,102"
"00701 TT","1,269,600"
"3227 TT","2,925,171"
"00702 TT","514,444"
"3230 TT","32,321"
"00703 TT","205,774"
"3232 TT","118,731"
"00704L TT","240,225"
"3234 TT","285,213"
"00705R TT","330,699"
"3236 TT","640,359"
"00709 TT","57,433"
"3252 TT","39,970"
"00710B TT","7,980"
"3260 TT","1,730,386"
"00711B TT","10,260"
"3264 TT","822,091"
"00712 TT","8,400"
"3265 TT","79,946"
"008201 TT","1,568"
"3272 TT","478,097"
"1101 TT","2,127,345"
"3276 TT","162,211"
"1102 TT","941,364"
"3284 TT","28,398"
"1103 TT","135,795"
"3285 TT","83,123"
"1104 TT","59,397"
"3289 TT","461,948"
"1108 TT","101,055"
"3290 TT","46,654"
"1109 TT","31,373"
"3293 TT","374,210"
"1110 TT","349,717"
"3294 TT","276,447"
"1201 TT","198,930"
"3297 TT","12,501"
"1203 TT","14,387"
"3299 TT","194,459"
"1210 TT","802,952"
"3303 TT","56,635"
"1213 TT","16,586"
"3306 TT","55,493"
